c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment
35453,Customer#000035453,VHZLIXd2ypEToPTh82O5FI4Ps7AJ1K9G,2,12-452-206-4863,4519.42,MACHINERY
123814,Customer#000123814,QvtlXNfhQC,9,19-989-540-8438,-148.47,HOUSEHOLD
9067,Customer#000009067,"F0Qu39mWNkzUKZ9wCKkY1,I ir2ZCDddGkoeXku",20,30-474-228-6517,3752.93,FURNITURE
25048,Customer#000025048,8ODF1HR50 o,24,34-729-225-2372,6249.76,FURNITURE
35897,Customer#000035897,t5vjk2Ef89Fru3k9lIHsMy7Pw,24,34-968-701-3147,3544.60,BUILDING
132017,Customer#000132017,"8nTlox ,3qi8dGeN9T4PIde",10,20-496-728-6934,1157.34,FURNITURE
119821,Customer#000119821,"r,p3TSSru6djBEyq",21,31-904-158-4229,2853.36,FURNITURE
52274,Customer#000052274,sl6vlRkBTpJyFouMl0cvzOiI9YXsAlSs7,3,13-576-199-6408,5946.62,BUILDING
60268,Customer#000060268,RMS3lP31IG3zfMV7uXEpjJ37,6,16-727-421-7645,2167.96,AUTOMOBILE
117919,Customer#000117919,TgrW4EADPhYfMel81hCp8dYAmXq0,20,30-473-584-2274,1106.72,MACHINERY
98749,Customer#000098749,8mxa95rQVEtdnzpwDa l9he cZDQuXhCno6aG6,0,10-149-170-7625,1380.72,FURNITURE
79349,Customer#000079349,s5entIMNOXAmor5pmfopIHYBHmNzkHK3S1bZZO,7,17-569-413-3088,2650.18,HOUSEHOLD
97628,Customer#000097628,bEg6divFXBiUUU4sEIi2b,19,29-442-853-8540,3026.57,BUILDING
22132,Customer#000022132,6 ZWPF9RFNgpxNhYpHvFLNg6E,9,19-367-464-1243,2164.05,MACHINERY
89054,Customer#000089054,"JrJ2F,vLKMaXuEPwb5XU5PePgYDau4",3,13-462-782-4681,2958.83,BUILDING
11963,Customer#000011963,"EuCgg3,tKWOwlGJfaluRC",10,20-106-259-2014,4232.59,FURNITURE
12202,Customer#000012202,P 4BAxtuWLdBoXic0lvK9Fx4cY,12,22-437-209-5615,627.08,FURNITURE
128191,Customer#000128191,fSeYmEH7aFTi,11,21-276-257-7618,1882.68,BUILDING
145495,Customer#000145495,ktkwX2Dtsb6RSCvfvtVvkqPlM8sERo,10,20-594-624-9503,1452.29,HOUSEHOLD
10183,Customer#000010183,xFHfpCLfqE8wzwGyC6bNnQRR1yGPUHg3hU4cyDHq,8,18-329-799-5652,9550.93,MACHINERY
119482,Customer#000119482,"LTMvzu7GAJ OQtCC0Ssd4q,MlQUj2WP",17,27-815-256-6235,505.17,FURNITURE
128950,Customer#000128950,",MKNwonJxJvTUmqn4tVPitzCypyrg1xiyK1po",19,29-482-305-6488,5680.34,MACHINERY
90449,Customer#000090449,zKJRxvi7IGhx6lkuq,13,23-518-531-7050,3515.51,AUTOMOBILE
